"condition","sample","alignCount","readPairCount","mappedCount","mappedPerc","pairedCount","pairedPerc","gene_align_count","gene_rm_chrM_rRNA_count"
"CD4_24hr","CD4_24hr_ND543",308106914,133193686,276969484,"89.89%",235249942,"88.31%",43215408,40093141
"CD4_24hr","CD4_24hr_ND581",280027832,122609317,256064232,"91.44%",221255034,"90.23%",55396195,51207603
"CD4_24hr","CD4_24hr_ND589",254243918,111294124,232817564,"91.57%",201161894,"90.37%",64854481,60306557
"CD4_8hr","CD4_8hr_ND543",238138398,103486591,214267952,"89.98%",183102736,"88.47%",21035418,19995521
"CD4_8hr","CD4_8hr_ND581",216043192,95079707,194580286,"90.07%",168696508,"88.71%",19979404,18999865
"CD4_8hr","CD4_8hr_ND589",226447530,100432407,209270246,"92.41%",183687530,"91.45%",41179376,39403330
"CD4_unstim","CD4_unstim_ND543",205476166,88719929,186820196,"90.92%",158783888,"89.49%",19034904,18018669
"CD4_unstim","CD4_unstim_ND581",218023302,92707773,197389670,"90.54%",164781914,"88.87%",17806848,16783424
"CD4_unstim","CD4_unstim_ND589",212743620,93206513,192495082,"90.48%",166164488,"89.14%",19673794,18623119
